ID_CZAS;ID_MIEJSCE;ID_ZMIENNA;ID_JEDNOSTKA_MIARY;WARTOŚĆ;id_czas_pk;rok;kwartal;kwartal_nazwa;miesiac;miesiac_nazwa;id_jednostka_miary_pk;nazwa_jednostki_miary;symbol_jednostki_miary;opis_jednostki_miary;mnoznik_jednostki_miary;id_miejsce_pk;region;odcinek_granicy;przejście_graniczne;id_zmienna_pk;nazwa_zmiennej;rodzaj_zmiennej;opis
205;6;1;1;14401;205;2024;2;Kwartał II;5;maj;1;sztuka;szt.;liczba pojazdów;1;6;południowo-wschodni;Ukraina;Krościenko – Smolnica;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
205;7;1;1;3351;205;2024;2;Kwartał II;5;maj;1;sztuka;szt.;liczba pojazdów;1;7;południowo-wschodni;Ukraina;Malhowice – Niżankowice;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
205;8;1;1;64603;205;2024;2;Kwartał II;5;maj;1;sztuka;szt.;liczba pojazdów;1;8;południowo-wschodni;Ukraina;Medyka – Szeginie;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
205;9;1;1;29438;205;2024;2;Kwartał II;5;maj;1;sztuka;szt.;liczba pojazdów;1;9;południowo-wschodni;Ukraina;Zosin – Ustiług;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
205;10;1;1;0;205;2024;2;Kwartał II;5;maj;1;sztuka;szt.;liczba pojazdów;1;10;wschodni;Białoruś;Bobrowniki – Bierestowica;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
205;11;1;1;43395;205;2024;2;Kwartał II;5;maj;1;sztuka;szt.;liczba pojazdów;1;11;wschodni;Białoruś;Kukuryki – Kozłowiczy;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
205;12;1;1;0;205;2024;2;Kwartał II;5;maj;1;sztuka;szt.;liczba pojazdów;1;12;wschodni;Białoruś;Kuźnica – Bruzgi;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
205;13;1;1;0;205;2024;2;Kwartał II;5;maj;1;sztuka;szt.;liczba pojazdów;1;13;wschodni;Białoruś;Lipszczany – Sofijewo *);1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
205;14;1;1;0;205;2024;2;Kwartał II;5;maj;1;sztuka;szt.;liczba pojazdów;1;14;wschodni;Białoruś;Połowce – Pieszczatka;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
205;15;1;1;0;205;2024;2;Kwartał II;5;maj;1;sztuka;szt.;liczba pojazdów;1;15;wschodni;Białoruś;Sławatycze – Domaczewo;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
205;16;1;1;41475;205;2024;2;Kwartał II;5;maj;1;sztuka;szt.;liczba pojazdów;1;16;wschodni;Białoruś;Terespol – Brześć;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
205;17;1;1;3394;205;2024;2;Kwartał II;5;maj;1;sztuka;szt.;liczba pojazdów;1;17;północny;Rosja;Bezledy – Bagrationowsk;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
205;18;1;1;0;205;2024;2;Kwartał II;5;maj;1;sztuka;szt.;liczba pojazdów;1;18;północny;Rosja;Gołdap – Gusiew;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
205;19;1;1;0;205;2024;2;Kwartał II;5;maj;1;sztuka;szt.;liczba pojazdów;1;19;północny;Rosja;Gronowo – Mamonowo;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
205;20;1;1;18632;205;2024;2;Kwartał II;5;maj;1;sztuka;szt.;liczba pojazdów;1;20;północny;Rosja;Grzechotki – Mamonowo II;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
205;21;1;1;0;205;2024;2;Kwartał II;5;maj;1;sztuka;szt.;liczba pojazdów;1;21;północny;Rosja;Michałkowo – Żeleznodorożnyj ;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
206;1;1;1;20929;206;2024;2;Kwartał II;6;czerwiec;1;sztuka;szt.;liczba pojazdów;1;1;południowo-wschodni;Ukraina;Budomierz – Hruszew;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
